---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:23 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 10
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 12
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:59 (uptime: 0d, 00h 01m 44s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 120
capture.afpacket.polls                                       | Total                     | 12202
capture.afpacket.poll_timeout                                | Total                     | 12120
capture.afpacket.poll_data                                   | Total                     | 82
decoder.pkts                                                 | Total                     | 120
decoder.bytes                                                | Total                     | 17871
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 98
decoder.ethernet                                             | Total                     | 120
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 100
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 148
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 11
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 13
flow.mgr.flows_notimeout                                     | Total                     | 12
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:07 (uptime: 0d, 00h 01m 52s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 120
capture.afpacket.polls                                       | Total                     | 13280
capture.afpacket.poll_timeout                                | Total                     | 13198
capture.afpacket.poll_data                                   | Total                     | 82
decoder.pkts                                                 | Total                     | 120
decoder.bytes                                                | Total                     | 17871
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 98
decoder.ethernet                                             | Total                     | 120
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 100
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 148
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 12
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 14
flow.mgr.flows_notimeout                                     | Total                     | 13
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:15 (uptime: 0d, 00h 02m 00s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 120
capture.afpacket.polls                                       | Total                     | 14000
capture.afpacket.poll_timeout                                | Total                     | 13918
capture.afpacket.poll_data                                   | Total                     | 82
decoder.pkts                                                 | Total                     | 120
decoder.bytes                                                | Total                     | 17871
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 98
decoder.ethernet                                             | Total                     | 120
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 100
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 148
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 12
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 14
flow.mgr.flows_notimeout                                     | Total                     | 13
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:23 (uptime: 0d, 00h 02m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 120
capture.afpacket.polls                                       | Total                     | 15079
capture.afpacket.poll_timeout                                | Total                     | 14997
capture.afpacket.poll_data                                   | Total                     | 82
decoder.pkts                                                 | Total                     | 120
decoder.bytes                                                | Total                     | 17871
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 98
decoder.ethernet                                             | Total                     | 120
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 100
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 148
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 13
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 15
flow.mgr.flows_notimeout                                     | Total                     | 14
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:31 (uptime: 0d, 00h 02m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 151
capture.afpacket.polls                                       | Total                     | 16166
capture.afpacket.poll_timeout                                | Total                     | 16066
capture.afpacket.poll_data                                   | Total                     | 100
decoder.pkts                                                 | Total                     | 151
decoder.bytes                                                | Total                     | 26483
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 118
decoder.ethernet                                             | Total                     | 151
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 123
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 12
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 175
decoder.max_pkt_size                                         | Total                     | 1444
flow.total                                                   | Total                     | 11
flow.active                                                  | Total                     | 10
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 4
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 3
app_layer.tx.dns_udp                                         | Total                     | 10
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 14
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 17
flow.mgr.flows_notimeout                                     | Total                     | 16
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:39 (uptime: 0d, 00h 02m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 151
capture.afpacket.polls                                       | Total                     | 17093
capture.afpacket.poll_timeout                                | Total                     | 16993
capture.afpacket.poll_data                                   | Total                     | 100
decoder.pkts                                                 | Total                     | 151
decoder.bytes                                                | Total                     | 26483
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 118
decoder.ethernet                                             | Total                     | 151
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 123
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 12
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 175
decoder.max_pkt_size                                         | Total                     | 1444
flow.total                                                   | Total                     | 11
flow.active                                                  | Total                     | 10
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 4
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 3
app_layer.tx.dns_udp                                         | Total                     | 10
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 15
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9401
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 18
flow.mgr.flows_notimeout                                     | Total                     | 17
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:47 (uptime: 0d, 00h 02m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 174
capture.afpacket.polls                                       | Total                     | 17968
capture.afpacket.poll_timeout                                | Total                     | 17858
capture.afpacket.poll_data                                   | Total                     | 110
decoder.pkts                                                 | Total                     | 174
decoder.bytes                                                | Total                     | 28851
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 141
decoder.ethernet                                             | Total                     | 174
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 143
tcp.rst                                                      | Total                     | 7
decoder.udp                                                  | Total                     | 12
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 165
decoder.max_pkt_size                                         | Total                     | 1444
flow.total                                                   | Total                     | 13
flow.active                                                  | Total                     | 12
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 4
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 7
decoder.event.ipv6.zero_len_padn                             | Total                     | 2
detect.alert                                                 | Total                     | 6
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 3
app_layer.tx.dns_udp                                         | Total                     | 10
app_layer.tx.ntp                                             | Total                     | 2
flow.end.state.new                                           | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 16
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9301
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 19
flow.mgr.flows_notimeout                                     | Total                     | 18
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:37:55 (uptime: 0d, 00h 02m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 176
capture.afpacket.polls                                       | Total                     | 19047
capture.afpacket.poll_timeout                                | Total                     | 18936
capture.afpacket.poll_data                                   | Total                     | 111
decoder.pkts                                                 | Total                     | 176
decoder.bytes                                                | Total                     | 29015
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 143
decoder.ethernet                                             | Total                     | 176
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 143
tcp.rst                                                      | Total                     | 7
decoder.udp                                                  | Total                     | 12
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 7
decoder.avg_pkt_size                                         | Total                     | 164
decoder.max_pkt_size                                         | Total                     | 1444
flow.total                                                   | Total                     | 13
flow.active                                                  | Total                     | 12
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 4
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 7
decoder.event.ipv6.zero_len_padn                             | Total                     | 2
detect.alert                                                 | Total                     | 6
app_layer.flow.ntp                                           | Total                     | 1
